Name,Platform,Year_of_Release,Era,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Global_Sales_Calculated,Sales_Region_Dominant,Critic_Score,Critic_Count,User_Score,User_Count,Score_Gap
NASCAR Heat,PS,2000,2000s,Racing,Hasbro Interactive,Monster Games Inc.,E,0.22,0.15,0.0,0.03,0.39,0.4,NA,62.0,5,7.5,24,-13.0
Planet 51,DS,2009,2000s,Action,Sega,Firebrand Games,E,0.22,0.14,0.0,0.04,0.39,0.4,NA,71.0,21,7.5,24,-4.0
Bloody Roar,PS,1997,1990s,Fighting,Virgin Interactive,Unknown,Unknown,0.22,0.15,0.0,0.03,0.39,0.4,NA,71.0,21,7.5,24,-4.0
Bump 'n' Jump,2600,1982,1980s,Racing,Mattel Interactive,Unknown,Unknown,0.37,0.02,0.0,0.0,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Mobile Suit Gundam: Lost War Chronicles,PS2,2002,2000s,Shooter,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Legends of WrestleMania,X360,2009,2000s,Fighting,Thq,Yuke'S,T,0.2,0.15,0.0,0.04,0.39,0.39,NA,71.0,59,6.3,23,8.0
Fishing Resort,Wii,2011,2010s,Sports,Namco Bandai Games,Prope,E,0.14,0.0,0.25,0.01,0.39,0.4,JP,69.0,9,7.0,8,-1.0
Disney's Brother Bear,GBA,2003,2000s,Action,Thq,Vicarious Visions,E,0.28,0.1,0.0,0.01,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Armored Core V,PS3,2012,2010s,Simulation,Namco Bandai Games,From Software,T,0.09,0.04,0.24,0.02,0.39,0.39,JP,65.0,26,7.3,47,-8.0
NBA Live 09,PS2,2008,2000s,Sports,Electronic Arts,Ea Canada,E,0.32,0.01,0.01,0.05,0.39,0.39,NA,71.0,21,7.4,14,-3.0
Saints Row IV,PS4,2015,2010s,Action,Deep Silver,Unknown,Unknown,0.13,0.18,0.03,0.06,0.39,0.4,EU,71.0,21,7.5,24,-4.0
Mass Effect 2,PC,2010,2010s,Role-Playing,Electronic Arts,Bioware,M,0.01,0.32,0.0,0.06,0.39,0.39,EU,94.0,55,8.8,3559,6.0
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,2010s,Action,Electronic Arts,Ea Bright Light,T,0.13,0.2,0.0,0.07,0.39,0.4,EU,38.0,27,2.8,23,10.0
The House of The Dead III,XB,2002,2000s,Shooter,Sega,Wow Entertainment,M,0.29,0.08,0.0,0.01,0.39,0.38,NA,72.0,30,7.3,9,-1.0
Project X Zone,3DS,2012,2010s,Role-Playing,Namco Bandai Games,"Monolith Soft, Banpresto",T,0.18,0.04,0.15,0.02,0.39,0.39,NA,70.0,53,7.3,146,-3.0
NBA Jam,PS3,2010,2010s,Sports,Electronic Arts,Ea Canada,E,0.22,0.12,0.0,0.06,0.39,0.4,NA,71.0,33,5.7,14,14.0
Fire Emblem: Fuuin no Tsurugi,GBA,2002,2000s,Role-Playing,Nintendo,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Dishonored,PS4,2015,2010s,Action,Bethesda Softworks,Unknown,Unknown,0.12,0.2,0.02,0.06,0.39,0.4,EU,71.0,21,7.5,24,-4.0
Dark Souls III,XOne,2016,2010s,Role-Playing,Namco Bandai Games,From Software,Unknown,0.26,0.09,0.0,0.04,0.39,0.39,NA,87.0,14,8.6,514,1.0
NBA Jam,X360,2010,2010s,Sports,Electronic Arts,Ea Canada,E,0.27,0.09,0.0,0.03,0.39,0.39,NA,75.0,30,7.0,24,5.0
Dancing with the Stars: We Dance!,DS,2008,2000s,Misc,Activision,Unknown,Unknown,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
NBA Live 09,PSP,2008,2000s,Sports,Electronic Arts,Ea Sports,E,0.23,0.07,0.03,0.06,0.39,0.39,NA,71.0,21,7.3,8,-2.0
Ener-G: Gym Rockets,DS,2008,2000s,Sports,Ubisoft,1St Playable Productions,E,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Laser Blast,2600,1981,1980s,Action,Activision,Unknown,Unknown,0.37,0.02,0.0,0.0,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Madden NFL Football,3DS,2011,2010s,Sports,Electronic Arts,Ea Tiburon,E,0.36,0.01,0.0,0.03,0.39,0.4,NA,49.0,18,5.3,16,-4.0
Thrasher Presents: Skate and Destroy,PS,1998,1990s,Sports,Take-Two Interactive,Unknown,Unknown,0.22,0.15,0.0,0.03,0.39,0.4,NA,71.0,21,7.5,24,-4.0
Are You Smarter than a 5th Grader? Make the Grade,DS,2008,2000s,Misc,Thq,Thq,E,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Donkey Konga 2,GC,2004,2000s,Misc,Nintendo,Namco,T,0.3,0.08,0.0,0.01,0.39,0.39,NA,69.0,30,6.0,9,9.0
SpongeBob's Truth or Square (US sales),PSP,2009,2000s,Action,Thq,Unknown,Unknown,0.39,0.0,0.0,0.0,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Tear Ring Saga Yutona Eiyuu Senki,PS,2001,2000s,Role-Playing,Enterbrain,Unknown,Unknown,0.0,0.0,0.37,0.03,0.39,0.4,JP,71.0,21,7.5,24,-4.0
Transformers: Fall of Cybertron,PS3,2012,2010s,Action,Activision,High Moon Studios,T,0.19,0.14,0.0,0.06,0.39,0.39,NA,77.0,32,8.2,87,-5.0
Alpha Protocol,X360,2010,2010s,Role-Playing,Sega,Obsidian Entertainment,M,0.23,0.12,0.0,0.04,0.39,0.39,NA,63.0,68,7.2,201,-9.0
Metal Gear Solid HD Edition,PSV,2012,2010s,Action,Konami Digital Entertainment,Unknown,Unknown,0.12,0.16,0.05,0.06,0.39,0.39,EU,71.0,21,7.5,24,-4.0
FIFA 12,3DS,2011,2010s,Sports,Electronic Arts,Unknown,Unknown,0.08,0.26,0.0,0.05,0.39,0.39,EU,71.0,21,7.5,24,-4.0
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,2010s,Misc,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
SSX 3,XB,2003,2000s,Sports,Electronic Arts,Ea Canada,E,0.29,0.08,0.0,0.01,0.39,0.38,NA,92.0,27,8.7,25,5.0
Combat of Giants: Dinosaurs 3D,3DS,2011,2010s,Strategy,Ubisoft,Ubisoft,E10+,0.25,0.06,0.05,0.03,0.39,0.39,NA,44.0,18,5.3,9,-9.0
Madden NFL 2005,GBA,2004,2000s,Sports,Electronic Arts,Exient Entertainment,E,0.28,0.1,0.0,0.01,0.39,0.39,NA,79.0,9,7.6,5,3.0
All-Star Baseball 2000,N64,1999,1990s,Sports,Acclaim Entertainment,Unknown,Unknown,0.36,0.03,0.0,0.0,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Custom Robo V2,N64,2000,2000s,Fighting,Nintendo,Unknown,Unknown,0.0,0.0,0.34,0.05,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Extreme-G: XG2,N64,1998,1990s,Racing,Acclaim Entertainment,Unknown,Unknown,0.31,0.07,0.0,0.0,0.39,0.38,NA,71.0,21,7.5,24,-4.0
BattleTanx: Global Assault,N64,1999,1990s,Action,3Do,Unknown,Unknown,0.31,0.07,0.0,0.0,0.39,0.38,NA,71.0,21,7.5,24,-4.0
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,2000s,Action,Square Enix,Square Enix,T,0.21,0.07,0.08,0.03,0.39,0.39,NA,66.0,53,7.6,70,-10.0
SpongeBob's Truth or Square (US sales),Wii,2009,2000s,Action,Thq,Unknown,Unknown,0.38,0.01,0.0,0.0,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Until Dawn: Rush of Blood,PS4,2016,2010s,Adventure,Sony Computer Entertainment,Supermassive Games,M,0.18,0.15,0.0,0.07,0.39,0.4,NA,72.0,49,8.0,68,-8.0
Chibi-Robo! Plug into Adventure!,GC,2005,2000s,Adventure,Nintendo,Unknown,Unknown,0.23,0.06,0.09,0.01,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Sonic Lost World,WiiU,2013,2010s,Platform,Sega,Sonic Team,E10+,0.23,0.12,0.01,0.03,0.39,0.39,NA,63.0,64,7.3,461,-10.0
Super Monkey Ball: Step & Roll,Wii,2010,2010s,Action,Sega,Unknown,Unknown,0.15,0.19,0.0,0.04,0.39,0.38,EU,71.0,21,7.5,24,-4.0
Skylanders SWAP Force,PS4,2013,2010s,Platform,Activision,Vicarious Visions,E10+,0.2,0.12,0.0,0.06,0.39,0.38,NA,79.0,7,5.2,45,27.0
Iron Man 2,PS3,2010,2010s,Action,Sega,Sega Studios San Francisco,T,0.14,0.18,0.0,0.07,0.39,0.39,EU,41.0,28,5.2,36,-11.0
Jampack Winter 2003 (RP-T),PS2,2003,2000s,Misc,Sony Computer Entertainment,Unknown,Unknown,0.19,0.15,0.0,0.05,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Star Wars The Clone Wars: Republic Heroes,X360,2009,2000s,Action,Lucasarts,Krome Studios,T,0.18,0.17,0.0,0.04,0.39,0.39,NA,43.0,37,6.3,19,-20.0
Monster Jam: Urban Assault,DS,2008,2000s,Racing,Activision,Torus Games,E,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
Kengo: Master of Bushido,PS2,2000,2000s,Fighting,Ubisoft,Light Weight,M,0.16,0.13,0.06,0.04,0.39,0.39,NA,62.0,13,8.4,8,-22.0
Blood Omen 2,PS2,2002,2000s,Action,Eidos Interactive,Crystal Dynamics,M,0.19,0.15,0.0,0.05,0.39,0.39,NA,67.0,18,8.8,19,-21.0
Monopoly Streets,PS3,2010,2010s,Misc,Electronic Arts,Electronic Arts,E,0.16,0.17,0.0,0.06,0.39,0.39,EU,64.0,11,6.1,9,3.0
Super Fire ProWrestling,SNES,1991,1990s,Fighting,Human Entertainment,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Cabela's Dangerous Hunts 2,PS2,2005,2000s,Sports,Activision,Sand Grain Studios,T,0.19,0.15,0.0,0.05,0.39,0.39,NA,71.0,21,5.6,14,15.0
Condemned 2: Bloodshot,PS3,2008,2000s,Action,Sega,Monolith Productions,M,0.17,0.16,0.0,0.06,0.39,0.39,NA,82.0,37,8.1,89,1.0
Disney Princess: Enchanting Storybooks,Wii,2011,2010s,Misc,Thq,Page 44 Studios,E,0.25,0.1,0.0,0.03,0.39,0.38,NA,71.0,21,7.5,24,-4.0
Chessmaster,PS2,2003,2000s,Misc,Ubisoft,Ubisoft Romania,E,0.19,0.15,0.0,0.05,0.39,0.39,NA,79.0,9,7.3,13,6.0
Fatal Fury,SNES,1992,1990s,Fighting,Takara,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,2000s,Role-Playing,Banpresto,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
The Darkness II,X360,2012,2010s,Shooter,Take-Two Interactive,Digital Extremes,M,0.24,0.11,0.0,0.03,0.39,0.38,NA,80.0,71,7.5,219,5.0
Ice Age 2: The Meltdown,PS2,2006,2000s,Platform,Vivendi Games,Eurocom Entertainment Software,E10+,0.19,0.15,0.0,0.05,0.39,0.39,NA,68.0,19,8.0,6,-12.0
The Sims 2,GBA,2005,2000s,Simulation,Electronic Arts,Maxis,E10+,0.28,0.1,0.0,0.01,0.39,0.39,NA,58.0,11,7.5,6,-17.0
Hitman: Blood Money,X360,2006,2000s,Action,Eidos Interactive,Io Interactive,M,0.29,0.06,0.01,0.03,0.39,0.39,NA,82.0,53,8.7,102,-5.0
Super Famista 3,SNES,1994,1990s,Sports,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.39,0.0,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Advance Wars: Dual Strike,DS,2005,2000s,Strategy,Nintendo,Intelligent Systems,E,0.3,0.02,0.04,0.03,0.39,0.39,NA,90.0,49,9.0,163,0.0
Auto Modellista,PS2,2002,2000s,Racing,Capcom,Capcom,E,0.19,0.15,0.0,0.05,0.39,0.39,NA,66.0,20,7.5,13,-9.0
WipeOut 3 The Game,Wii,2012,2010s,Action,Activision,Unknown,Unknown,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
MLB 15: The Show,PS3,2015,2010s,Sports,Sony Computer Entertainment,Scea San Diego Studios,E,0.31,0.01,0.0,0.07,0.39,0.39,NA,71.0,21,8.2,6,-11.0
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,2000s,Shooter,Ubisoft,Red Storm Entertainment,T,0.29,0.08,0.0,0.01,0.39,0.38,NA,84.0,40,7.2,35,12.0
Tiger Woods PGA Tour 08,PS2,2007,2000s,Sports,Electronic Arts,Ea Salt Lake,E,0.19,0.15,0.0,0.05,0.39,0.39,NA,65.0,10,7.5,24,-10.0
F1 2016 (Codemasters),PS4,2016,2010s,Racing,Codemasters,Unknown,Unknown,0.03,0.29,0.01,0.05,0.39,0.38,EU,71.0,21,7.5,24,-4.0
Just Dance 2015,PS4,2014,2010s,Misc,Ubisoft,Ubisoft,E10+,0.19,0.13,0.0,0.07,0.39,0.39,NA,72.0,8,5.8,32,14.0
Robert Ludlum's The Bourne Conspiracy,PS3,2007,2000s,Action,Vivendi Games,High Moon Studios,T,0.18,0.14,0.0,0.06,0.39,0.38,NA,70.0,47,7.6,43,-6.0
Samurai Warriors Chronicles,3DS,2011,2010s,Action,Tecmo Koei,Omega Force,T,0.12,0.05,0.2,0.01,0.39,0.38,JP,61.0,30,7.7,35,-16.0
Karaoke Revolution Presents American Idol Encore,PS2,2008,2000s,Misc,Konami Digital Entertainment,Blitz Games,E,0.19,0.15,0.0,0.05,0.39,0.39,NA,76.0,4,7.5,24,1.0
Airlock,2600,1981,1980s,Action,Data Age,Unknown,Unknown,0.36,0.02,0.0,0.0,0.39,0.38,NA,71.0,21,7.5,24,-4.0
Tokimeki Memorial 2,PS,1999,1990s,Simulation,Konami Digital Entertainment,Unknown,Unknown,0.0,0.0,0.36,0.03,0.39,0.39,JP,71.0,21,7.5,24,-4.0
Hooked! Again: Real Motion Fishing,Wii,2009,2000s,Sports,505 Games,Unknown,Unknown,0.36,0.0,0.0,0.03,0.39,0.39,NA,71.0,21,7.5,24,-4.0
SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,2000s,Adventure,Thq,Thq,E,0.24,0.11,0.0,0.04,0.39,0.39,NA,71.0,21,7.5,24,-4.0
One Piece: Unlimited World Red,3DS,2013,2010s,Action,Namco Bandai Games,Ganbarion,T,0.05,0.04,0.28,0.01,0.39,0.38,JP,75.0,5,7.6,26,-1.0
EA Sports Active 2,X360,2010,2010s,Sports,Electronic Arts,Ea Canada,E,0.18,0.16,0.0,0.04,0.39,0.38,NA,68.0,21,5.4,9,14.0
MotoGP 08,PS3,2008,2000s,Racing,Capcom,Milestone S.R.L,E,0.07,0.24,0.0,0.08,0.39,0.39,EU,65.0,21,6.0,9,5.0
Red Faction: Armageddon,X360,2011,2010s,Shooter,Thq,Volition Inc.,M,0.18,0.16,0.01,0.04,0.39,0.39,NA,71.0,74,7.0,77,1.0
Harry Potter: Quidditch World Cup,GBA,2003,2000s,Sports,Electronic Arts,Magic Pockets,E,0.28,0.1,0.0,0.01,0.39,0.39,NA,53.0,6,8.3,9,-30.0
Dungeon Siege III,PS3,2011,2010s,Role-Playing,Square Enix,Obsidian Entertainment,T,0.17,0.13,0.03,0.05,0.39,0.38,NA,71.0,52,6.3,86,8.0
Evil Dead: Fistfull of Boomstick,PS2,2003,2000s,Action,Thq,Unknown,Unknown,0.19,0.15,0.0,0.05,0.38,0.39,NA,71.0,21,7.5,24,-4.0
Silent Hill: Homecoming,PS3,2007,2000s,Action,Konami Digital Entertainment,Double Helix Games,M,0.18,0.14,0.0,0.06,0.38,0.38,NA,71.0,41,6.9,143,2.0
Triple Play 97,PS,1996,1990s,Sports,Electronic Arts Victor,Unknown,Unknown,0.21,0.15,0.0,0.03,0.38,0.39,NA,71.0,21,7.5,24,-4.0
Sonic & All-Stars Racing Transformed,PSV,2012,2010s,Racing,Sega,Unknown,Unknown,0.09,0.2,0.0,0.09,0.38,0.38,EU,71.0,21,7.5,24,-4.0
Super Soccer,SNES,1991,1990s,Sports,Nintendo,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Shin Megami Tensei: Nocturne,PS2,2003,2000s,Role-Playing,Ghostlight,Atlus Co.,M,0.07,0.05,0.25,0.02,0.38,0.39,JP,82.0,42,8.7,83,-5.0
Wario Land II (GBC),GB,1998,1990s,Platform,Nintendo,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
San Francisco Rush: Extreme Racing,PS,1997,1990s,Racing,Gt Interactive,Unknown,Unknown,0.21,0.15,0.0,0.03,0.38,0.39,NA,71.0,21,7.5,24,-4.0
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,1990s,Racing,Human Entertainment,Unknown,Unknown,0.0,0.0,0.36,0.03,0.38,0.39,JP,71.0,21,7.5,24,-4.0
Farming Simulator 2013,X360,2013,2010s,Simulation,Focus Home Interactive,Giants Software,E,0.22,0.13,0.0,0.04,0.38,0.39,NA,33.0,12,6.2,30,-29.0
ESPN College Hoops 2K5,XB,2004,2000s,Sports,Sega,Visual Concepts,E,0.29,0.08,0.0,0.01,0.38,0.38,NA,86.0,18,8.3,11,3.0
Looney Tunes: Acme Arsenal,PS2,2007,2000s,Action,Warner Bros. Interactive Entertainment,Red Tribe,E10+,0.19,0.15,0.0,0.05,0.38,0.39,NA,38.0,10,3.9,7,-1.0
SD Gundam G Generation Spirits,PS2,2007,2000s,Strategy,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Dance Party: Pop Hits,Wii,2009,2000s,Misc,Nordic Games,Unknown,Unknown,0.0,0.36,0.0,0.02,0.38,0.38,EU,71.0,21,7.5,24,-4.0
Marvel: Ultimate Alliance,PS3,2006,2000s,Role-Playing,Activision,Raven Software,T,0.33,0.02,0.0,0.03,0.38,0.38,NA,78.0,35,7.6,49,2.0
The Cat in the Hat,GBA,2005,2000s,Platform,Jack Of All Games,Unknown,Unknown,0.27,0.1,0.0,0.01,0.38,0.38,NA,71.0,21,7.5,24,-4.0
Diner Dash: Sizzle & Serve,DS,2007,2000s,Puzzle,Eidos Interactive,Unknown,Unknown,0.33,0.02,0.0,0.03,0.38,0.38,NA,71.0,21,7.5,24,-4.0
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,2010s,Role-Playing,Ghostlight,Atlus,T,0.28,0.01,0.06,0.03,0.38,0.38,NA,78.0,27,8.2,97,-4.0
NFL GameDay 2002,PS2,2001,2000s,Sports,Sony Computer Entertainment,Red Zone Entertainment,E,0.19,0.15,0.0,0.05,0.38,0.39,NA,51.0,18,4.6,5,5.0
Naruto: Clash of Ninja Revolution 2,Wii,2008,2000s,Fighting,Tomy Corporation,Eighting,T,0.34,0.02,0.0,0.03,0.38,0.39,NA,72.0,20,8.4,16,-12.0
Turok: Evolution,GC,2002,2000s,Shooter,Acclaim Entertainment,Acclaim,M,0.3,0.08,0.0,0.01,0.38,0.39,NA,70.0,19,7.0,21,0.0
NCAA Football 08,PS3,2007,2000s,Sports,Electronic Arts,Ea Sports,E,0.35,0.0,0.0,0.03,0.38,0.38,NA,77.0,13,7.9,28,-2.0
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,2000s,Misc,Ubisoft,Unknown,Unknown,0.38,0.0,0.0,0.0,0.38,0.38,NA,71.0,21,7.5,24,-4.0
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,2000s,Strategy,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Ice Age,GBA,2002,2000s,Action,Ubisoft,Artificial Mind And Movement,E,0.27,0.1,0.0,0.01,0.38,0.38,NA,47.0,11,7.5,24,-28.0
Sega Superstars Tennis,PS2,2008,2000s,Sports,Sega,Sumo Digital,E10+,0.1,0.0,0.0,0.28,0.38,0.38,Other,70.0,9,8.3,4,-13.0
Headhunter,PS2,2002,2000s,Action,Sega,Amuze,M,0.19,0.15,0.0,0.05,0.38,0.39,NA,74.0,24,7.8,19,-4.0
FIFA 14,Wii,2013,2010s,Sports,Electronic Arts,Ea Canada,E,0.0,0.36,0.0,0.02,0.38,0.38,EU,71.0,21,4.3,19,28.0
Yoshi Touch & Go,DS,2005,2000s,Platform,Nintendo,Unknown,Unknown,0.34,0.02,0.0,0.03,0.38,0.39,NA,71.0,21,7.5,24,-4.0
Viking: Battle for Asgard,PS3,2008,2000s,Action,Sega,Creative Assembly,M,0.14,0.17,0.0,0.07,0.38,0.38,EU,65.0,38,7.4,32,-9.0
Rock Band 4,PS4,2015,2010s,Misc,Harmonix Music Systems,Harmonix Music Systems,T,0.26,0.05,0.0,0.07,0.38,0.38,NA,78.0,51,6.3,87,15.0
Shin Megami Tensei: Devil Summoner,SAT,1995,1990s,Role-Playing,Atlus,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Junior Classic Games,DS,2009,2000s,Misc,Avanquest,Uacari,E,0.26,0.09,0.0,0.03,0.38,0.38,NA,71.0,21,7.5,24,-4.0
Marvel Nemesis: Rise of the Imperfects,GC,2005,2000s,Fighting,Electronic Arts,"Ea Canada, Nihilistic",T,0.3,0.08,0.0,0.01,0.38,0.39,NA,54.0,19,5.7,24,-3.0
ESPN Extreme Games,PS,1994,1990s,Sports,Sony Computer Entertainment,Unknown,Unknown,0.11,0.08,0.17,0.03,0.38,0.39,JP,71.0,21,7.5,24,-4.0
Brunswick Pro Bowling,Wii,2007,2000s,Sports,505 Games,Point Of View,E,0.35,0.01,0.0,0.03,0.38,0.39,NA,52.0,11,5.4,23,-2.0
Ninja: Shadow of Darkness,PS,1998,1990s,Action,Eidos Interactive,Unknown,Unknown,0.21,0.14,0.0,0.02,0.38,0.37,NA,71.0,21,7.5,24,-4.0
Wolfenstein: The New Order,X360,2014,2010s,Shooter,Bethesda Softworks,Machinegames,M,0.18,0.17,0.0,0.03,0.38,0.38,NA,71.0,21,7.4,98,-3.0
SD Gundam G Generation-F,PS,2000,2000s,Strategy,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.36,0.02,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Bratz: Rock Angelz,PS2,2005,2000s,Misc,Thq,Blitz Games,E,0.19,0.15,0.0,0.05,0.38,0.39,NA,60.0,7,5.1,7,9.0
FlatOut,PS2,2004,2000s,Racing,Empire Interactive,Bugbear,T,0.19,0.15,0.0,0.05,0.38,0.39,NA,70.0,30,8.5,16,-15.0
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,2010s,Adventure,Capcom,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Battlefield 1,PC,2016,2010s,Shooter,Electronic Arts,Ea Dice,M,0.11,0.24,0.0,0.03,0.38,0.38,EU,88.0,54,7.6,1137,12.0
SSX 3,GC,2003,2000s,Sports,Electronic Arts,Ea Canada,E,0.29,0.08,0.0,0.01,0.38,0.38,NA,92.0,27,8.7,45,5.0
Metal Gear Solid: Snake Eater 3D,3DS,2012,2010s,Action,Konami Digital Entertainment,Kojima Productions,M,0.15,0.11,0.1,0.02,0.38,0.38,NA,78.0,46,7.8,167,0.0
Raving Rabbids: Travel in Time 3D,3DS,2011,2010s,Platform,Ubisoft,Unknown,Unknown,0.11,0.23,0.0,0.04,0.38,0.38,EU,71.0,21,7.5,24,-4.0
NCAA Football 11,PS2,2010,2010s,Sports,Electronic Arts,Ea Tiburon,E,0.19,0.15,0.0,0.05,0.38,0.39,NA,71.0,21,7.5,24,-4.0
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,2000s,Action,Disney Interactive Studios,Unknown,Unknown,0.27,0.1,0.0,0.01,0.38,0.38,NA,71.0,21,7.5,24,-4.0
LocoRoco,PSP,2006,2000s,Platform,Sony Computer Entertainment,Sce Japan Studio,E,0.14,0.04,0.16,0.03,0.38,0.37,JP,83.0,67,8.7,89,-4.0
Risk: Global Domination,PS2,2003,2000s,Strategy,Atari,Cyberlore Studios,T,0.19,0.15,0.0,0.05,0.38,0.39,NA,60.0,9,8.8,25,-28.0
Deus Ex: Mankind Divided,PS4,2016,2010s,Role-Playing,Square Enix,Eidos Montreal,M,0.11,0.21,0.0,0.06,0.38,0.38,EU,84.0,59,7.6,511,8.0
Mobile Suit Gundam version 2.0,PS,1996,1990s,Action,Namco Bandai Games,Unknown,Unknown,0.0,0.0,0.36,0.02,0.38,0.38,JP,71.0,21,7.5,24,-4.0
FIFA 17,X360,2016,2010s,Sports,Electronic Arts,"Ea Sports, Ea Vancouver",E,0.07,0.28,0.0,0.03,0.38,0.38,EU,71.0,21,1.7,23,54.0
Grandia Xtreme,PS2,2002,2000s,Role-Playing,Enix Corporation,Game Arts,T,0.07,0.05,0.25,0.02,0.38,0.39,JP,68.0,16,6.5,15,3.0
Tamagotchi Connection: Corner Shop 3,DS,2007,2000s,Simulation,Atari,Nanaon-Sha,E,0.06,0.0,0.31,0.01,0.38,0.38,JP,57.0,4,7.5,24,-18.0
Silent Scope,PS2,2000,2000s,Shooter,Konami Digital Entertainment,Kcet,M,0.19,0.15,0.0,0.05,0.38,0.39,NA,63.0,23,7.5,24,-12.0
Final Fantasy Adventure,GB,1991,1990s,Role-Playing,Squaresoft,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,2000s,Platform,Take-Two Interactive,High Voltage Software,E,0.19,0.15,0.0,0.05,0.38,0.39,NA,71.0,21,7.5,24,-4.0
The Incredible Hulk,PS2,2008,2000s,Action,Sega,Edge Of Reality,T,0.32,0.01,0.0,0.05,0.38,0.38,NA,50.0,4,6.0,5,-10.0
Mercenaries 2: World in Flames,PS2,2008,2000s,Shooter,Electronic Arts,Artificial Mind And Movement,T,0.21,0.0,0.0,0.17,0.38,0.38,NA,49.0,10,7.4,31,-25.0
Saints Row: The Third,PC,2011,2010s,Action,Thq,Volition Inc.,M,0.16,0.16,0.0,0.06,0.38,0.38,NA,84.0,22,8.1,1263,3.0
Ghost Trick: Phantom Detective,DS,2010,2010s,Adventure,Capcom,Capcom,T,0.17,0.07,0.12,0.02,0.38,0.38,NA,83.0,60,9.0,127,-7.0
Tokimeki Memorial: Forever with You,SAT,1996,1990s,Simulation,Konami Digital Entertainment,Unknown,Unknown,0.0,0.0,0.38,0.0,0.38,0.38,JP,71.0,21,7.5,24,-4.0
MediEvil II,PS,1999,1990s,Action,Sony Computer Entertainment,Unknown,Unknown,0.21,0.14,0.0,0.02,0.38,0.37,NA,71.0,21,7.5,24,-4.0
Hunter: The Reckoning,XB,2002,2000s,Action,Interplay,High Voltage Software,M,0.28,0.08,0.0,0.01,0.38,0.37,NA,79.0,28,8.9,20,-10.0
